family,depth_bin,depth_center,K,normalized_mode_energy,n_tasks
Classification,4,0.4090909090909091,77,0.0025090977284419735,2
Classification,4,0.4090909090909091,78,0.002432414876410165,2
Classification,4,0.4090909090909091,79,0.002403129258703525,2
Classification,4,0.4090909090909091,80,0.0023480543649299374,2
Classification,5,0.5,1,0.2246779181026297,3
Classification,5,0.5,2,0.07704904748682119,3
Classification,5,0.5,3,0.05102377336967243,3
Classification,5,0.5,4,0.04595684275652953,3
Classification,5,0.5,5,0.039146717692219946,3
Classification,5,0.5,6,0.03353240279361671,3
Classification,5,0.5,7,0.03041240019824853,3
Classification,5,0.5,8,0.02660739880355102,3
Classification,5,0.5,9,0.025064148300526497,3
Classification,5,0.5,10,0.02293824601136862,3
Classification,5,0.5,11,0.02066750048017355,3
Classification,5,0.5,12,0.019837225180798643,3
Classification,5,0.5,13,0.017758172989454743,3
Classification,5,0.5,14,0.01691318169251806,3
Classification,5,0.5,15,0.016226157978444632,3
Classification,5,0.5,16,0.014969404180305512,3
Classification,5,0.5,17,0.013793722713968592,3
Classification,5,0.5,18,0.013650163469955857,3
Classification,5,0.5,19,0.012847844557709341,3
Classification,5,0.5,20,0.012266194613436218,3
Classification,5,0.5,21,0.011395104330065249,3
Classification,5,0.5,22,0.010974791496011493,3
Classification,5,0.5,23,0.010624149729623283,3
Classification,5,0.5,24,0.010020438576858326,3
Classification,5,0.5,25,0.009448449414709072,3
Classification,5,0.5,26,0.009310820415405733,3
Classification,5,0.5,27,0.008619598721183957,3
Classification,5,0.5,28,0.00846111621794994,3
Classification,5,0.5,29,0.008201766396180582,3
Classification,5,0.5,30,0.007547572025191879,3
Classification,5,0.5,31,0.00758752914720744,3
Classification,5,0.5,32,0.007536583303738982,3
Classification,5,0.5,33,0.007141099969228547,3
Classification,5,0.5,34,0.006795879876445778,3
Classification,5,0.5,35,0.006523669837548711,3
Classification,5,0.5,36,0.0064402302025923334,3
Classification,5,0.5,37,0.006104625293146817,3
Classification,5,0.5,38,0.005920683000593958,3
Classification,5,0.5,39,0.0057348100630299935,3
Classification,5,0.5,40,0.005687056791715543,3
Classification,5,0.5,41,0.005325649442383926,3
Classification,5,0.5,42,0.005430134446499986,3
Classification,5,0.5,43,0.005176032137999838,3
Classification,5,0.5,44,0.004927927544435434,3
Classification,5,0.5,45,0.00500828908094307,3
Classification,5,0.5,46,0.005030179367967181,3
Classification,5,0.5,47,0.005105132211826822,3
Classification,5,0.5,48,0.004283619991856939,2
Classification,5,0.5,49,0.0041493638624092635,2
Classification,5,0.5,50,0.004070502358916922,2
Classification,5,0.5,51,0.004014223825812135,2
Classification,5,0.5,52,0.0038702952916705976,2
Classification,5,0.5,53,0.0037917370611418332,2
Classification,5,0.5,54,0.0037191143439540345,2
Classification,5,0.5,55,0.003704961533668695,2
Classification,5,0.5,56,0.003563631821662857,2
Classification,5,0.5,57,0.003565331173523351,2
Classification,5,0.5,58,0.0034684980582872834,2
Classification,5,0.5,59,0.003320024137053586,2
Classification,5,0.5,60,0.0032821349846494682,2
Classification,5,0.5,61,0.003186054324053364,2
Classification,5,0.5,62,0.0031619246797202254,2
Classification,5,0.5,63,0.0030664540487475465,2
Classification,5,0.5,64,0.0029796916935046075,2
Classification,5,0.5,65,0.0029691109476627075,2
Classification,5,0.5,66,0.002948784707344999,2
Classification,5,0.5,67,0.002894771373828658,2
Classification,5,0.5,68,0.002791377679767914,2
Classification,5,0.5,69,0.0027696348195141354,2
Classification,5,0.5,70,0.0027304662185545316,2
Classification,5,0.5,71,0.0026801350545487424,2
Classification,5,0.5,72,0.0025862621441889405,2
Classification,5,0.5,73,0.002554204474293888,2
Classification,5,0.5,74,0.0024720503988245658,2
Classification,5,0.5,75,0.0025207119021985196,2
Classification,5,0.5,76,0.0024111450904399897,2
Classification,5,0.5,77,0.002392442945847997,2
Classification,5,0.5,78,0.0023437562906400305,2
Classification,5,0.5,79,0.002305437097300864,2
Classification,5,0.5,80,0.0023054720457610246,2
Classification,6,0.5909090909090908,1,0.23227247977806845,3
Classification,6,0.5909090909090908,2,0.08263856451125012,3
Classification,6,0.5909090909090908,3,0.05585842580692512,3
Classification,6,0.5909090909090908,4,0.046299456536043115,3
Classification,6,0.5909090909090908,5,0.03944243219031302,3
Classification,6,0.5909090909090908,6,0.03355077576591557,3
Classification,6,0.5909090909090908,7,0.029888996394914172,3
Classification,6,0.5909090909090908,8,0.02645084168579064,3
Classification,6,0.5909090909090908,9,0.024575191007145503,3
Classification,6,0.5909090909090908,10,0.022344682174761252,3
Classification,6,0.5909090909090908,11,0.020710063991473168,3
Classification,6,0.5909090909090908,12,0.018575461310777776,3
Classification,6,0.5909090909090908,13,0.017251155768750456,3
Classification,6,0.5909090909090908,14,0.016251165744530855,3
Classification,6,0.5909090909090908,15,0.014719606348275821,3
Classification,6,0.5909090909090908,16,0.014060579234693388,3
Classification,6,0.5909090909090908,17,0.013381430303454941,3
Classification,6,0.5909090909090908,18,0.01295195574993275,3
