metric,family,pearson_mean,pearson_variance,spearman_mean,spearman_variance,kendall_mean,kendall_variance,distance_mean,distance_variance,n_seeds,n_tasks,family_mean,family_variance,family_q1,family_median,family_q3,family_min,family_max,n_model_task_cases
DiME,Pairwise relational,0.10265414689568393,0.0,-0.04589987652099449,0.0,-0.030855231724796896,0.0,0.5970274629280766,0.0,4,1,-0.04589987652099449,0.0,-0.4044505494505495,-0.2912087912087912,0.3117330495591366,-0.5439560439560439,0.6993006993006995,7
Harmora,Pairwise relational,0.6084756492222362,0.0,0.49216398508323983,0.0,0.3561546941671165,0.0,0.6568440397443368,0.0,4,1,0.49216398508323983,0.0,0.33708791208791206,0.6363636363636365,0.7351398601398602,-0.0939130434782608,0.7582417582417583,7
InfoNCE,Pairwise relational,0.19083094665794217,0.0,0.10399389430445337,0.0,0.07481135841384291,0.0,0.6100484790339279,0.0,4,1,0.10399389430445337,0.0,-0.3312637362637363,0.1904347826086956,0.5313436563436564,-0.6318681318681317,0.7692307692307694,7
LiDAR,Pairwise relational,0.4093337821092506,0.0,0.4315069402647043,0.0,0.3214367413125177,0.0,0.5650787635095419,0.0,4,1,0.4315069402647043,0.0,0.22880076445293834,0.3946153846153846,0.6346153846153847,0.0879120879120879,0.8111888111888113,7
Matrix entropy,Pairwise relational,0.23195407257846462,0.0,0.14005596887584468,0.0,0.11262687622936071,0.0,0.6000672772219006,0.0,4,1,0.14005596887584468,0.0,-0.2462087912087912,0.1843478260869565,0.541833166833167,-0.5714285714285714,0.7762237762237763,7
Participation ratio,Pairwise relational,0.5249306467861371,0.0,0.47848189078002745,0.0,0.34139227232394925,0.0,0.6431634864355547,0.0,4,1,0.47848189078002745,0.0,0.3708741258741258,0.467032967032967,0.6547202797202799,0.0659340659340659,0.7652173913043477,7
Spectral gap,Pairwise relational,0.5172997214272997,0.0,0.47960344003822264,0.0,0.331625724172308,0.0,0.6215603835384493,0.0,4,1,0.47960344003822264,0.0,0.341013986013986,0.4125874125874127,0.6258098423315813,0.1538461538461538,0.8571428571428573,7
Anisotropy,Similarity-dominated,0.5062963995187574,0.0,0.27185384491285114,0.0,0.2166317223149521,0.0,0.6757389374528797,0.0,4,4,0.27185384491285114,0.0,0.05750358337314855,0.33928571428571436,0.5052447552447553,-0.39010989010989,0.9510489510489512,28
Curvature,Similarity-dominated,0.2891598032791076,0.0,0.10401361061298947,0.0,0.0657262613163234,0.0,0.6624211338957833,0.0,4,4,0.10401361061298947,0.0,-0.155506993006993,0.23351648351648352,0.46840659340659335,-0.9642857142857144,0.7902097902097903,28
DiME,Similarity-dominated,0.01030974947778206,0.0,0.05178225501206869,0.0,0.04369338735798364,0.0,0.6368904344734183,0.0,4,4,0.05178225501206869,0.0,-0.2479395604395604,-0.0612279025322503,0.34965034965034963,-0.6593406593406593,0.8881118881118882,28
Harmora,Similarity-dominated,0.5053136814331158,0.0,0.482625992020402,0.0,0.3924206435386559,0.0,0.638192144486815,0.0,4,4,0.482625992020402,0.0,0.2204813664596273,0.62010989010989,0.7774725274725276,-0.24,0.9446153846153846,28
InfoNCE,Similarity-dominated,0.47554673065504227,0.0,0.2628036714837957,0.0,0.20520747368573455,0.0,0.6681832492865509,0.0,4,4,0.2628036714837957,0.0,0.044010989010988925,0.32499999999999996,0.5460789210789211,-0.456043956043956,0.9510489510489512,28
LiDAR,Similarity-dominated,0.21506499364721665,0.0,0.08051833259907798,0.0,0.059788182831661096,0.0,0.5936458220520984,0.0,4,4,0.08051833259907798,0.0,-0.44230769230769235,0.23757763975155274,0.583916083916084,-0.7861538461538461,0.8601398601398602,28
Matrix entropy,Similarity-dominated,0.5111416797955022,0.0,0.27893153430420514,0.0,0.2204929128842172,0.0,0.6643786956066986,0.0,4,4,0.27893153430420514,0.0,0.0425836120401337,0.306438127090301,0.5297202797202798,-0.3956043956043956,0.9440559440559444,28
Participation ratio,Similarity-dominated,0.4686018087766654,0.0,0.20680704388778925,0.0,0.13097011683968207,0.0,0.6727993379229017,0.0,4,4,0.20680704388778925,0.0,-0.2554945054945054,0.28321678321678323,0.6828171828171827,-0.6153846153846153,0.8741258741258742,28
Spectral gap,Similarity-dominated,0.43981966347988666,0.0,0.2424867989153704,0.0,0.1530436747517493,0.0,0.6393314473828913,0.0,4,4,0.2424867989153704,0.0,-0.17307692307692304,0.31818181818181823,0.698361204013378,-0.4353846153846153,0.7802197802197801,28
