metric,task,model,seed,pearson,spearman,kendall,distance,family
LiDAR,Banking77Classification.v2,bge_large_en_v15,33,0.481098184058654,0.3966910768631496,0.3516695858110863,0.5149204236169946,Core class-organized
LiDAR,Banking77Classification.v2,bge_large_en_v15,44,0.3449638734873926,0.4156694517445008,0.3693024487132395,0.4814722530976426,Core class-organized
Matrix entropy,Banking77Classification.v2,bge_large_en_v15,11,0.3767836740111964,0.1963004426563035,0.1678876842112128,0.5989191059140367,Core class-organized
Matrix entropy,Banking77Classification.v2,bge_large_en_v15,22,0.2918527039892358,0.1161627395500618,0.0619317079066296,0.5563396176447475,Core class-organized
Matrix entropy,Banking77Classification.v2,bge_large_en_v15,33,0.3919991496866662,0.1210539180767899,0.0805909467483739,0.5871509730008921,Core class-organized
Matrix entropy,Banking77Classification.v2,bge_large_en_v15,44,0.3158653081144969,0.1667030366682134,0.1352890158652461,0.5662140528668071,Core class-organized
Participation ratio,Banking77Classification.v2,bge_large_en_v15,11,0.8015704777919078,0.7743203713648867,0.591256627004706,0.7927762763796874,Core class-organized
Participation ratio,Banking77Classification.v2,bge_large_en_v15,22,0.8087453926539669,0.7992170507620361,0.6156740374247304,0.8148965279559053,Core class-organized
Participation ratio,Banking77Classification.v2,bge_large_en_v15,33,0.776324386810795,0.7824960100143578,0.600768875760606,0.7827016923135702,Core class-organized
Participation ratio,Banking77Classification.v2,bge_large_en_v15,44,0.8817605976867935,0.8369972311043719,0.669132159549731,0.8813639642017523,Core class-organized
Spectral gap,Banking77Classification.v2,bge_large_en_v15,11,0.7498941895756519,0.7721440915128214,0.591256627004706,0.7759351386932457,Core class-organized
Spectral gap,Banking77Classification.v2,bge_large_en_v15,22,0.735063152030132,0.7974767850009867,0.6229601207078632,0.7810732720250577,Core class-organized
Spectral gap,Banking77Classification.v2,bge_large_en_v15,33,0.6988862025351779,0.7781415525295812,0.6080953254650037,0.7516800582375828,Core class-organized
Spectral gap,Banking77Classification.v2,bge_large_en_v15,44,0.8285876566606366,0.8391735109564372,0.6764450793262309,0.8567118219655152,Core class-organized
Anisotropy,Banking77Classification.v2,e5_base_v2,11,0.0836563580948792,-0.2392398838497762,-0.1746895300952023,0.3873892606628527,Core class-organized
Anisotropy,Banking77Classification.v2,e5_base_v2,22,0.1771687892739477,0.1004302297587925,0.0403129684835082,0.4068430936795913,Core class-organized
Anisotropy,Banking77Classification.v2,e5_base_v2,33,0.1324409645741113,0.0496555975289329,0.0130744090092122,0.3973116364271466,Core class-organized
Anisotropy,Banking77Classification.v2,e5_base_v2,44,0.2936377896408892,0.3884312259786556,0.285738383406372,0.5721347943775289,Core class-organized
Curvature,Banking77Classification.v2,e5_base_v2,11,0.7641315306752814,0.503516499730343,0.4434426533185907,0.7281192102562736,Core class-organized
Curvature,Banking77Classification.v2,e5_base_v2,22,0.8106532884896565,0.6751143222674385,0.550943902607946,0.7644916914082659,Core class-organized
