metric,family,task,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds
Spectral gap,Core class-organized,EmotionClassification.v2,0.5099206349206349,0.006590031074158061,0.6328997498186238,0.001916103249068361,0.4285714285714285,0.029085411942554814,0.0,0.0,0.0,0.0,0.1,0.04000000000000001,0.6694945234291677,0.003480851841543205,0.16013071895424838,0.0014381932874820266,4
Anisotropy,Core class-organized,HUMEEmotionClassification,0.5404761904761903,0.09544217687074835,0.5493220447151931,0.0351320527370062,0.48214285714285715,0.12370937263794408,0.0,0.0,0.0,0.0,0.05,0.010000000000000002,0.5734364410817567,0.01909805274776941,0.22916666666666669,0.024884259259259255,4
Curvature,Core class-organized,HUMEEmotionClassification,0.4196428571428571,0.09725765306122448,0.4878803191914317,0.010849379720994057,0.4107142857142857,0.10933295540438398,0.0,0.0,0.08333333333333333,0.02777777777777778,0.05,0.010000000000000002,0.5035126266716227,0.007198545500129064,0.2708333333333333,0.020254629629629633,4
DiME,Core class-organized,HUMEEmotionClassification,0.3863095238095237,0.04455924036281181,0.5110986736257314,0.014792014638308773,0.34523809523809523,0.07834467120181408,0.0,0.0,0.0,0.0,0.0,0.0,0.5031159911098292,0.028770217472018456,0.2708333333333333,0.006365740740740744,4
Harmora,Core class-organized,HUMEEmotionClassification,0.6678571428571428,0.05079931972789115,0.711323134403664,0.02396222286967839,0.6952380952380952,0.055071806500377955,0.0,0.0,0.08333333333333333,0.02777777777777778,0.1,0.013333333333333336,0.6731288664098991,0.009747406282835656,0.16666666666666666,0.01388888888888889,4
InfoNCE,Core class-organized,HUMEEmotionClassification,0.6261904761904762,0.07639455782312927,0.555699391306223,0.02370209295902478,0.6273809523809524,0.127775888133031,0.0,0.0,0.0,0.0,0.05,0.010000000000000002,0.5748383298001403,0.015175357259191703,0.18749999999999997,0.02025462962962963,4
LiDAR,Core class-organized,HUMEEmotionClassification,0.3863095238095237,0.04455924036281181,0.5320796486939448,0.04014997815289335,0.34523809523809523,0.07834467120181408,0.0,0.0,0.08333333333333333,0.027777777777777776,0.1,0.013333333333333336,0.5309761270333309,0.023689871782432426,0.2708333333333333,0.006365740740740744,4
Matrix entropy,Core class-organized,HUMEEmotionClassification,0.5404761904761903,0.09544217687074835,0.5493220447151931,0.0351320527370062,0.48214285714285715,0.12370937263794408,0.0,0.0,0.0,0.0,0.05,0.010000000000000002,0.5734364410817567,0.01909805274776941,0.22916666666666669,0.024884259259259255,4
Participation ratio,Core class-organized,HUMEEmotionClassification,0.6553571428571429,0.02035289115646258,0.6444026615381702,0.03178566055116186,0.7095238095238094,0.054527588813303086,0.0,0.0,0.08333333333333333,0.02777777777777778,0.1,0.013333333333333336,0.6747576787700547,0.016651848473251404,0.16666666666666666,0.009259259259259264,4
Spectral gap,Core class-organized,HUMEEmotionClassification,0.6619047619047619,0.07628117913832203,0.6654705471975341,0.04273130175911253,0.6761904761904762,0.1448979591836735,0.0,0.0,0.08333333333333333,0.02777777777777778,0.1,0.013333333333333336,0.678437307495892,0.023720121364703778,0.16666666666666663,0.018518518518518517,4
Anisotropy,Pairwise relational,LegalBenchPC,0.8539038692449765,0.0,0.8239588505304591,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822965925882518,0.0,0.0391927565347101,0.0,4
Curvature,Pairwise relational,LegalBenchPC,0.2655051796222062,0.0,0.2996403758545284,0.0,0.2285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849209288041742,0.0,0.197040650716088,0.0,4
DiME,Pairwise relational,LegalBenchPC,0.8175574806797479,0.0,0.8410359497968994,0.0,0.8380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840346740918568,0.0,0.0489432896295367,0.0,4
Harmora,Pairwise relational,LegalBenchPC,0.8832891429788607,0.0,0.5371670015963739,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4971024401683882,0.0,0.031309660156962,0.0,4
InfoNCE,Pairwise relational,LegalBenchPC,0.6656700459501115,0.0,0.7907129362263612,0.0,0.7238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7879882904094153,0.0,0.0896896613457201,0.0,4
LiDAR,Pairwise relational,LegalBenchPC,0.8539038692449765,0.0,0.7992249181899835,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7680379190168065,0.0,0.0391927565347101,0.0,4
Matrix entropy,Pairwise relational,LegalBenchPC,0.8539038692449765,0.0,0.8239588505304591,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8124885497252111,0.0,0.0391927565347101,0.0,4
Participation ratio,Pairwise relational,LegalBenchPC,0.8539038692449765,0.0,0.7992249181899835,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8073419394313134,0.0,0.0391927565347101,0.0,4
Spectral gap,Pairwise relational,LegalBenchPC,0.8539038692449765,0.0,0.7522339976630114,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7629943913977898,0.0,0.0391927565347101,0.0,4
Anisotropy,Similarity-dominated,SICK-R,1.0,0.0,0.8503834610178433,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.8906532979051464,0.0,0.0,0.0,4
Curvature,Similarity-dominated,SICK-R,0.9685608088997204,0.0,0.9577364595515736,0.0,0.9809523809523808,0.0,0.0,0.0,0.6666666666666666,0.0,0.6,0.0,0.9567442646321268,0.0,0.0108728426748769,0.0,4
DiME,Similarity-dominated,SICK-R,0.9453184327993702,0.0,0.7933231951453785,0.0,0.961904761904762,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7845602197992401,0.0,0.0189109215784776,0.0,4
Harmora,Similarity-dominated,SICK-R,0.8919947426736289,0.0,0.9470777818302392,0.0,0.923809523809524,0.0,0.0,0.0,0.6666666666666666,0.0,0.6,0.0,0.9490059270315718,0.0,0.0373522387145256,0.0,4
InfoNCE,Similarity-dominated,SICK-R,0.8767110976588934,0.0,0.8288596792175104,0.0,0.9142857142857144,0.0,0.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.8749426197309674,0.0,0.0426378921276126,0.0,4
LiDAR,Similarity-dominated,SICK-R,0.4960025155254081,0.0,0.6164193728925416,0.0,0.4571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62887544805399,0.0,0.174301092535973,0.0,4
Matrix entropy,Similarity-dominated,SICK-R,0.8767110976588934,0.0,0.8288596792175104,0.0,0.9142857142857144,0.0,0.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.8749426197309674,0.0,0.0426378921276126,0.0,4
Participation ratio,Similarity-dominated,SICK-R,0.8767110976588934,0.0,0.6784433668735933,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7043182206554998,0.0,0.0426378921276126,0.0,4
Spectral gap,Similarity-dominated,SICK-R,1.0,0.0,0.8263844629529186,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.8809927286398407,0.0,0.0,0.0,4
Anisotropy,Similarity-dominated,STS15,0.9371901962772224,0.0,0.9131390329856756,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8633827542811621,0.0,0.039619278684613,0.0,4
