metric,task,seed,ndcg_at_1,ndcg_at_3,selected_percentile,top1_overlap,top3_overlap,top5_overlap,ndcg_at_5,regret_at_1,family
LiDAR,BiorxivClusteringP2P.v2,11,0.3742723496945561,0.4962557767839708,0.1809523809523809,0.0,0.0,0.0,0.5794657338661597,0.1571494963560828,Cluster-organized
LiDAR,BiorxivClusteringP2P.v2,22,0.4194864270544891,0.538164631833857,0.2095238095238095,0.0,0.0,0.0,0.6001747284951731,0.1510417474292192,Cluster-organized
LiDAR,BiorxivClusteringP2P.v2,33,0.3064243431896177,0.4551659359301966,0.1714285714285714,0.0,0.0,0.0,0.5396412436912638,0.1854668241772738,Cluster-organized
LiDAR,BiorxivClusteringP2P.v2,44,0.3315557235298085,0.5184781361971255,0.1809523809523809,0.0,0.0,0.0,0.5859717246580297,0.1710839729914712,Cluster-organized
Matrix entropy,BiorxivClusteringP2P.v2,11,0.9431555065474664,0.9178086516854138,0.9714285714285714,0.0,0.0,0.4,0.8654340848459838,0.0142763125655733,Cluster-organized
Matrix entropy,BiorxivClusteringP2P.v2,22,0.9377558621949584,0.917015318641529,0.9904761904761904,0.0,0.6666666666666666,0.4,0.8600878975582966,0.0161950792874588,Cluster-organized
Matrix entropy,BiorxivClusteringP2P.v2,33,0.838956672707132,0.8731466436822019,0.9428571428571428,0.0,0.3333333333333333,0.4,0.8329642225003469,0.043064075526104,Cluster-organized
Matrix entropy,BiorxivClusteringP2P.v2,44,0.9858964567896604,0.9321857569709492,0.9809523809523808,0.0,0.3333333333333333,0.6,0.8811272717606272,0.0036097103238333,Cluster-organized
Participation ratio,BiorxivClusteringP2P.v2,11,0.8402819831883259,0.848992862851883,0.9142857142857144,0.0,0.0,0.2,0.8833601754663347,0.0401126686485642,Cluster-organized
Participation ratio,BiorxivClusteringP2P.v2,22,0.7235492197753677,0.8050964671990221,0.8095238095238095,0.0,0.0,0.2,0.8491288552419963,0.0719287383952672,Cluster-organized
Participation ratio,BiorxivClusteringP2P.v2,33,0.7286148016611153,0.7590789561694944,0.8857142857142857,0.0,0.0,0.0,0.793381955559249,0.0725702385462948,Cluster-organized
Participation ratio,BiorxivClusteringP2P.v2,44,0.7975666323833392,0.8378178040526442,0.9047619047619048,0.0,0.0,0.2,0.8678743978056589,0.0518115062347246,Cluster-organized
Spectral gap,BiorxivClusteringP2P.v2,11,0.8402819831883259,0.848992862851883,0.9142857142857144,0.0,0.0,0.2,0.8820511797801797,0.0401126686485642,Cluster-organized
Spectral gap,BiorxivClusteringP2P.v2,22,0.7235492197753677,0.8050964671990221,0.8095238095238095,0.0,0.0,0.2,0.8471662355159347,0.0719287383952672,Cluster-organized
Spectral gap,BiorxivClusteringP2P.v2,33,0.7286148016611153,0.7590789561694944,0.8857142857142857,0.0,0.0,0.0,0.7923674101863937,0.0725702385462948,Cluster-organized
Spectral gap,BiorxivClusteringP2P.v2,44,0.7975666323833392,0.8378178040526442,0.9047619047619048,0.0,0.0,0.2,0.8651535371971123,0.0518115062347246,Cluster-organized
Anisotropy,Banking77Classification.v2,11,0.8266666666666665,0.8171726899984413,0.9142857142857144,0.0,0.0,0.0,0.7899666588153987,0.0844155844155845,Core class-organized
Anisotropy,Banking77Classification.v2,22,0.9534883720930232,0.8921614550091364,0.9666666666666668,0.0,0.0,0.2,0.8419284355084155,0.0259740259740259,Core class-organized
Anisotropy,Banking77Classification.v2,33,0.8409090909090909,0.849183530569047,0.919047619047619,0.0,0.0,0.2,0.8151813718759239,0.0909090909090909,Core class-organized
Anisotropy,Banking77Classification.v2,44,0.9534883720930232,0.9137562059007496,0.961904761904762,0.0,0.0,0.0,0.8756707153558881,0.0259740259740259,Core class-organized
Curvature,Banking77Classification.v2,11,0.9733333333333332,0.9759694546824376,0.9904761904761904,0.0,0.6666666666666666,0.4,0.964366003928104,0.0129870129870129,Core class-organized
Curvature,Banking77Classification.v2,22,1.0,0.9807966597660464,0.9952380952380953,0.0,0.6666666666666666,0.6,0.984232980038575,0.0,Core class-organized
Curvature,Banking77Classification.v2,33,1.0,0.9731899166101928,1.0,1.0,0.3333333333333333,0.6,0.9692161719170368,0.0,Core class-organized
Curvature,Banking77Classification.v2,44,1.0,0.9929895953787832,1.0,1.0,0.6666666666666666,0.6,0.991405233009294,0.0,Core class-organized
DiME,Banking77Classification.v2,11,0.5733333333333333,0.5754949428603638,0.3,0.0,0.0,0.0,0.6115604117168173,0.2077922077922078,Core class-organized
DiME,Banking77Classification.v2,22,0.686046511627907,0.6734807539646473,0.6476190476190476,0.0,0.0,0.0,0.6894897692962042,0.1753246753246753,Core class-organized
DiME,Banking77Classification.v2,33,0.6931818181818182,0.664840163625748,0.7666666666666667,0.0,0.0,0.0,0.6604846176440452,0.1753246753246753,Core class-organized
DiME,Banking77Classification.v2,44,0.7209302325581397,0.7236108324561629,0.6095238095238096,0.0,0.0,0.0,0.7238871774808924,0.1558441558441557,Core class-organized
Harmora,Banking77Classification.v2,11,0.9733333333333332,0.9759694546824376,0.9904761904761904,0.0,0.6666666666666666,0.4,0.8964761187807535,0.0129870129870129,Core class-organized
Harmora,Banking77Classification.v2,22,1.0,0.9807966597660464,0.9952380952380953,0.0,0.6666666666666666,0.4,0.8831857908953974,0.0,Core class-organized
Harmora,Banking77Classification.v2,33,1.0,0.9704501620488148,1.0,1.0,0.3333333333333333,0.4,0.8973019744135856,0.0,Core class-organized
Harmora,Banking77Classification.v2,44,1.0,0.9985452095985384,1.0,1.0,0.6666666666666666,0.8,0.9187445505241548,0.0,Core class-organized
InfoNCE,Banking77Classification.v2,11,0.6933333333333334,0.7850303115037319,0.7619047619047619,0.0,0.0,0.0,0.7667820084276472,0.1493506493506493,Core class-organized
InfoNCE,Banking77Classification.v2,22,0.686046511627907,0.82978313384174,0.6476190476190476,0.0,0.0,0.2,0.7973787160884721,0.1753246753246753,Core class-organized
InfoNCE,Banking77Classification.v2,33,0.6931818181818182,0.8092621365963228,0.7666666666666667,0.0,0.0,0.2,0.7854902648080899,0.1753246753246753,Core class-organized
InfoNCE,Banking77Classification.v2,44,0.744186046511628,0.8652104683244142,0.7047619047619048,0.0,0.0,0.0,0.8408309089816266,0.1428571428571428,Core class-organized
