metric,family,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds,n_tasks
DiME,Pairwise relational,0.8175574806797479,0.0,0.8410359497968994,0.0,0.8380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840346740918568,0.0,0.0489432896295367,0.0,4,1
Harmora,Pairwise relational,0.8832891429788607,0.0,0.5371670015963739,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4971024401683882,0.0,0.031309660156962,0.0,4,1
InfoNCE,Pairwise relational,0.6656700459501115,0.0,0.7907129362263612,0.0,0.7238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7879882904094153,0.0,0.0896896613457201,0.0,4,1
LiDAR,Pairwise relational,0.8539038692449765,0.0,0.7992249181899835,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7680379190168065,0.0,0.0391927565347101,0.0,4,1
Matrix entropy,Pairwise relational,0.8539038692449765,0.0,0.8239588505304591,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8124885497252111,0.0,0.0391927565347101,0.0,4,1
Participation ratio,Pairwise relational,0.8539038692449765,0.0,0.7992249181899835,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8073419394313134,0.0,0.0391927565347101,0.0,4,1
Spectral gap,Pairwise relational,0.8539038692449765,0.0,0.7522339976630114,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7629943913977898,0.0,0.0391927565347101,0.0,4,1
Anisotropy,Similarity-dominated,0.9363524068182434,0.0,0.8722512853918848,0.0,0.9571428571428571,0.0,0.25,0.0,0.08333333333333333,0.0,0.2,0.0,0.8620298030408794,0.0,0.043222086238172926,0.0,4,4
Curvature,Similarity-dominated,0.6838065332751448,0.0,0.7200700538712279,0.0,0.569047619047619,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.0,0.726495716194775,0.0,0.20600081305253962,0.0,4,4
DiME,Similarity-dominated,0.8236655188494222,0.0,0.7734348361295846,0.0,0.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.7625193859169616,0.0,0.12028057400526751,0.0,4,4
Harmora,Similarity-dominated,0.7904602027712437,0.0,0.7042077644859718,0.0,0.7380952380952381,0.0,0.0,0.0,0.16666666666666666,0.0,0.45,0.0,0.7460303227133651,0.0,0.13047807757947752,0.0,4,4
InfoNCE,Similarity-dominated,0.8245833805905477,0.0,0.8475393000917446,0.0,0.8547619047619048,0.0,0.0,0.0,0.08333333333333333,0.0,0.25,0.0,0.8514836844397147,0.0,0.10612658956579432,0.0,4,4
LiDAR,Similarity-dominated,0.6685252269618004,0.0,0.7001707687493122,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885420059759753,0.0,0.17844461650555174,0.0,4,4
Matrix entropy,Similarity-dominated,0.9032041559465058,0.0,0.8664627345263141,0.0,0.9285714285714286,0.0,0.0,0.0,0.08333333333333333,0.0,0.25,0.0,0.8644429081907146,0.0,0.0554190766635147,0.0,4,4
Participation ratio,Similarity-dominated,0.9032041559465058,0.0,0.8107180090553423,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8107923372630974,0.0,0.0554190766635147,0.0,4,4
Spectral gap,Similarity-dominated,0.8597992664861813,0.0,0.855535952046846,0.0,0.8142857142857143,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.8869259011830315,0.0,0.09156912490395724,0.0,4,4
